TaxaNo,Genus,Species,Feeding,ClassNo
485,Cerithidea,sp.,Deposit,18
486,Clinocardium,sp.,Unknown,15
487,Tagelus,sp.,Unknown,15
488,Thais,haemastoma,Deposit,18
489,Olivancillaria,auricularia,Deposit,18
490,Anomalocardia,brasiliana,suspension,15
491,Antipatharia,sp.,suspension,4
492,Jania,rubens,NULL,2
493,Corallina,officinalis,NULL,2
494,Corallinaceae,indet.,NULL,2
495,Mytilaster,minimus,filter,15
496,Mytilaster,lineatus,filter,15
497,Tawera,spissa,suspension,15
498,Scalpomactra,scalpellum,suspension,15
499,Myadora,antipodum,suspension,15
500,Saccella,maxwelli,suspension,15
501,Montastraea,annularis,suspension,4
502,Porites,evermanni,suspension,4
503,Ocenebra,fenestrata,Carnivore,18
504,Drillia,caffra,Deposit,18
616,Pteria,colymbus,unknown,15
506,Hippopus,hippopus,suspension,15
507,Chama,macerophylla,suspension,15
508,Fasciolaria,tulipa,carnivore,18
509,Calliostoma,pulchrum,unknown,18
510,Lucinisca,muricata,unknown,15
511,Ctenocardia,media,unknown,15
512,Dallocardia,muricata,unknown,15
513,Anodontia,alba,unknown,15
514,Limaria,pellucida,unknown,15
515,Bulla,occidentalis,unknown,18
516,Anomalocardia,cuneimeris,suspension,15
517,Isognomon,alatus,suspension,15
518,Trachypollia,nodulosa,unknown,18
519,Timoclea,pygmaea,suspension,15
520,Conus,daucus,carnivore,18
521,Haminoea,elegans,unknown,18
522,Monoplex,nicobaricum,unknown,18
523,Scissula,similis,unknown,15
524,NULL,sp.,unknown,18
525,Comptopaallium,radula,suspension,15
530,Pecten,sulcicostatus,suspension,15
529,Pinctada,nigra,suspension,15
528,Meretrix,sp.,suspension,15
531,Lucina,carnosa,suspension,15
532,Arca,avellana,suspension,15
533,Tivela,valae,suspension,15
534,Pecten,benedictus cf erythr,suspension,15
535,Mactra,glabrata,suspension,15
536,Crassostrea,margaritacea,suspension,15
537,Donax,madagascariensis,suspension,15
538,Atrina,vexillum,suspension,15
539,Solen,cylindraceus,suspension,15
541,Leukoma,staminea,suspension,15
542,Glycymeris,pilosa,suspension,15
543,Cladocora,caespitosa,suspension,4
544,Gardineria,antarctica,suspension,4
545,Neobuccinum,Eatoni,predator,18
546,Patella,sp.,unknown,18
547,Buccinulum,littorinoides,Carnivore/scaven,18
548,Cominella,glandiformis,Carnivore/scaven,18
549,Cominella,maculosa,Carnivore/scaven,18
550,Diloma,aethiops,browser,18
551,Diloma,arida,browser,18
552,Diloma,subrostrata,browser,18
553,Paphies,australis,suspension,18
554,Zeacumantus,subcarinatus, deposit,18
555,Haustrum,haustorium,carnivore,18
556,Fulvia,tenuicostata,filter,15
557,Timoclea,cardioides,filter,15
558,Timoclea,ovate,Suspension,15
559,Chamelia,gallina,Suspension,15
560,Nucula,turgida,Deposit,15
580,Nacella,nica,unknown,15
562,Arca,sp.,unknown,15
563,Crepidula,sp.,unknown,15
564,Diplodonta,inconspicua,unknown,15
565,Ensis,macha,unknown,15
566,Fisurella,cumingi,deposit,15
567,Gary,solida,unknown,15
568,Mesodesma,donacium,filter,15
569,Nacella,clypeater,unknown,15
570,Nacella,deaurata,unknown,15
571,Nacella,magellanica,unknown,15
572,Ostrea,chilensis,filter,15
573,Ostrea,cumingi,unknown,15
574,Perumytilus,purpuratus,deposit,15
575,Petricola,rugosa,unknown,15
576,Purpura,xanthostoma,unknown,15
577,Scurria,lacerata,deposit,15
578,Scurria,zebrina,deposit,15
579,Tagelus,dombeii,unknown,15
581,Lillipathes,sp.,suspension,4
582,Enhydra,lutris,Carnivore,21
583,Arca,vetricosa,suspension,15
584,Atactodea,striata,suspension,15
585,Tegula,sp.,herbivore,18
586,Parvamussium,cancellatum,suspension,15
587,Tellina,listeri,suspension,15
588,Aequipecten,acanthodes,suspension,15
589,Chlamys,munda,suspension,15
590,Antigona,listeri,suspension,15
591,Arca,barbata,suspension,15
592,Lima,tenera,suspension,15
593,Basiliomya,goreaui,suspension,15
594,Chlamys,multisquamata,suspension,15
595,Tellina,radiata,suspension,15
596,Codakia,orbicularis,suspension,15
597,Donax,denticulata,suspension,15
598,Acar,plicata,suspension,15
599,Argopecten,lineolaris,suspension,15
